"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","yizhiqiang-ThinkPad-L440",,,,"User:","arthur"
"Cmdline:","dstat -tcmdns --output /home/arthur/dstat2.csv 5",,,,"Date:","05 May 2017 18:05:03 CST"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","used","free"
05-05 18:05:03,26.063,3.777,68.032,0.383,0.0,1.745,2717024256.0,66461696.0,185155584.0,885907456.0,42706.896,39919.529,0.0,0.0,606945280.0,3394416640.0
05-05 18:05:08,24.100,3.906,69.211,0.842,0.0,1.940,2716827648.0,66510848.0,185487360.0,885723136.0,27033.600,27852.800,3442895.600,11977447.800,606912512.0,3394449408.0
05-05 18:05:13,25.038,4.076,69.024,0.025,0.0,1.837,2716966912.0,66510848.0,185479168.0,885592064.0,3276.800,0.0,3422116.0,11974440.200,606896128.0,3394465792.0
05-05 18:05:18,32.230,3.787,61.349,0.778,0.0,1.856,2717429760.0,66568192.0,185479168.0,885071872.0,2457.600,29491.200,3508168.800,11999187.400,606883840.0,3394478080.0
05-05 18:05:23,25.624,3.808,68.852,0.050,0.0,1.665,2717036544.0,66568192.0,185479168.0,885465088.0,0.0,1638.400,3447036.200,11997878.800,606883840.0,3394478080.0
05-05 18:05:28,25.587,3.533,67.550,1.590,0.0,1.741,2716651520.0,66920448.0,188600320.0,882376704.0,695500.800,50790.400,3443742.200,11974865.800,606879744.0,3394482176.0
05-05 18:05:33,25.763,4.840,65.188,2.395,0.0,1.815,2717863936.0,68067328.0,232075264.0,836542464.0,8926003.200,4915.200,3413884.200,11939747.400,606846976.0,3394514944.0
05-05 18:05:38,31.325,5.208,60.965,0.536,0.0,1.966,2717880320.0,68116480.0,232075264.0,836476928.0,819.200,28672.0,3549990.400,12079763.400,606842880.0,3394519040.0
05-05 18:05:43,24.880,3.857,69.322,0.227,0.0,1.714,2717609984.0,68124672.0,232075264.0,836739072.0,819.200,4096.0,3376799.600,11876776.200,606834688.0,3394527232.0
05-05 18:05:48,26.391,3.928,67.363,0.453,0.0,1.864,2718044160.0,68173824.0,232075264.0,836255744.0,0.0,27852.800,3514374.800,12104613.400,606830592.0,3394531328.0
05-05 18:05:53,24.751,3.879,69.508,0.102,0.0,1.761,2718175232.0,68173824.0,232075264.0,836124672.0,819.200,0.0,3451950.200,11993735.200,606826496.0,3394535424.0
05-05 18:05:58,31.611,3.597,62.133,0.633,0.0,2.026,2717626368.0,68231168.0,232079360.0,836612096.0,7372.800,33587.200,3525859.0,12050017.800,606801920.0,3394560000.0
05-05 18:06:03,25.133,3.859,69.205,0.076,0.0,1.726,2718093312.0,68239360.0,232095744.0,836120576.0,819.200,1638.400,3434177.0,11974548.0,606793728.0,3394568192.0
05-05 18:06:08,25.620,3.869,60.900,7.739,0.0,1.872,2717409280.0,68288512.0,243453952.0,825397248.0,1607270.400,41779.200,3418848.200,11973108.800,606081024.0,3395280896.0
05-05 18:06:13,26.759,3.724,64.689,3.030,0.0,1.798,2717835264.0,68288512.0,246820864.0,821604352.0,779059.200,819.200,3418015.600,11921597.600,605933568.0,3395428352.0
05-05 18:06:18,29.524,3.751,64.698,0.101,0.0,1.926,2717720576.0,68345856.0,242819072.0,825663488.0,0.0,29491.200,3492071.800,12019100.200,605933568.0,3395428352.0
