
"time","usr","sys","idl","wai","hiq","siq","read","writ","memused","buff","cach","free","used","free","recv","send"
08-05 03:44:44,35.680,8.681,52.825,0.234,0.002,2.578,771.443,2003863.644,23004119040.0,1486848.0,4640747520.0,22820925440.0,0.0,25375535104.0,0.0,0.0
08-05 03:44:49,55.226,8.950,32.360,0.119,0.0,3.346,0.0,1765888.0,22999773184.0,1486848.0,4649263104.0,22816755712.0,0.0,25375535104.0,25095343.600,15007130.0
08-05 03:44:54,54.727,8.306,33.821,0.119,0.0,3.027,0.0,1649152.0,22999293952.0,1486848.0,4657180672.0,22809317376.0,0.0,25375535104.0,23830734.0,14101801.600
08-05 03:44:59,54.758,8.475,33.629,0.171,0.009,2.959,0.0,2108723.200,22996955136.0,1486848.0,4560855040.0,22907981824.0,0.0,25375535104.0,23626426.400,14213952.200
08-05 03:45:04,52.021,10.183,34.607,0.128,0.0,3.062,0.0,1575628.800,22999781376.0,1486848.0,4568702976.0,22897307648.0,0.0,25375535104.0,23144811.600,13801137.600
08-05 03:45:09,52.663,8.599,35.346,0.110,0.0,3.282,0.0,1698611.200,22999916544.0,1486848.0,4576899072.0,22888976384.0,0.0,25375535104.0,24556794.600,14185179.600
08-05 03:45:14,53.522,8.661,34.320,0.111,0.0,3.386,0.0,1678643.200,22998151168.0,1486848.0,4585029632.0,22882611200.0,0.0,25375535104.0,24662352.600,14443660.800
08-05 03:45:19,54.305,8.389,34.174,0.119,0.0,3.014,0.0,1726668.800,22995795968.0,1486848.0,4593311744.0,22876684288.0,0.0,25375535104.0,23850070.0,14213301.600
08-05 03:45:24,53.252,10.104,33.291,0.094,0.0,3.260,0.0,1682534.400,22997118976.0,1486848.0,4601315328.0,22867357696.0,0.0,25375535104.0,23954728.600,14352253.600
08-05 03:45:29,54.157,8.392,34.139,0.196,0.009,3.107,0.0,3437772.800,22994767872.0,1486848.0,4609462272.0,22861561856.0,0.0,25375535104.0,23709249.600,14159762.0
08-05 03:45:34,51.849,8.476,36.453,0.128,0.0,3.094,0.0,1597440.0,22995173376.0,1486848.0,4625858560.0,22844760064.0,0.0,25375535104.0,23583716.400,13989923.400
08-05 03:45:39,52.707,8.517,35.402,0.119,0.0,3.255,0.0,1775513.600,22992834560.0,1486848.0,4634271744.0,22838685696.0,0.0,25375535104.0,24532471.800,14450429.0
08-05 03:45:44,53.773,10.186,32.875,0.102,0.0,3.064,0.0,1686937.600,22994063360.0,1486848.0,4642226176.0,22829502464.0,0.0,25375535104.0,24146525.0,14371533.200
08-05 03:45:49,51.496,8.527,36.660,0.119,0.0,3.197,0.0,1643827.200,22992814080.0,1486848.0,4650450944.0,22822526976.0,0.0,25375535104.0,23853049.400,14187780.600
08-05 03:45:54,55.524,8.812,32.279,0.136,0.0,3.249,0.0,1772953.600,22992588800.0,1486848.0,4658745344.0,22814457856.0,0.0,25375535104.0,24874356.600,14852892.600
08-05 03:45:59,53.782,8.474,34.519,0.153,0.0,3.072,0.0,2043699.200,22991765504.0,1486848.0,4562202624.0,22911823872.0,0.0,25375535104.0,23724845.800,14107535.400
08-05 03:46:04,54.965,9.871,31.862,0.119,0.008,3.174,0.0,1724416.0,22990827520.0,1486848.0,4571017216.0,22903947264.0,0.0,25375535104.0,24038552.200,14425881.400
08-05 03:46:09,53.190,8.418,35.131,0.119,0.0,3.143,0.0,1623961.600,22989369344.0,1486848.0,4578430976.0,22897991680.0,0.0,25375535104.0,23934267.400,14229325.200
08-05 03:46:14,55.597,8.629,32.589,0.127,0.0,3.058,0.0,1718681.600,22988001280.0,1486848.0,4586831872.0,22890958848.0,0.0,25375535104.0,24159235.200,14548549.400
08-05 03:46:19,54.136,8.333,34.464,0.119,0.0,2.948,0.0,1634304.0,22842486784.0,1486848.0,4595306496.0,23027998720.0,0.0,25375535104.0,23557643.600,14063344.800
08-05 03:46:24,53.009,10.484,33.311,0.111,0.0,3.086,0.0,1670246.400,22840672256.0,1486848.0,4602978304.0,23022141440.0,0.0,25375535104.0,23461942.200,14206742.200
08-05 03:46:29,54.607,8.533,33.563,0.162,0.0,3.134,0.0,3452620.800,22841860096.0,1486848.0,4610945024.0,23012986880.0,0.0,25375535104.0,23972440.800,14193149.200
08-05 03:46:34,54.195,8.706,33.868,0.111,0.009,3.112,0.0,1684275.200,22838202368.0,1486848.0,4619427840.0,23008161792.0,0.0,25375535104.0,23918469.200,14334888.0
08-05 03:46:39,55.356,8.638,32.784,0.111,0.0,3.112,0.0,1723904.0,22839267328.0,1486848.0,4627435520.0,22999089152.0,0.0,25375535104.0,23933713.400,14258895.800
08-05 03:46:44,52.563,9.589,34.515,0.119,0.0,3.213,0.0,1652531.200,22837846016.0,1486848.0,4635525120.0,22992420864.0,0.0,25375535104.0,23461712.0,14133193.400
08-05 03:46:49,55.711,8.824,32.093,0.094,0.0,3.279,0.0,1699737.600,22838603776.0,1486848.0,4643631104.0,22983557120.0,0.0,25375535104.0,24515694.0,14578861.600
08-05 03:46:54,54.937,8.487,33.376,0.119,0.0,3.081,0.0,1664000.0,22837940224.0,1486848.0,4652044288.0,22975807488.0,0.0,25375535104.0,23683323.400,14227304.200
08-05 03:46:59,55.694,8.429,32.593,0.187,0.0,3.096,0.0,2151321.600,22837866496.0,1486848.0,4555284480.0,23072641024.0,0.0,25375535104.0,24179525.600,14373385.200
08-05 03:47:04,53.399,10.061,33.345,0.127,0.008,3.059,0.0,1625600.0,22838988800.0,1486848.0,4563374080.0,23063429120.0,0.0,25375535104.0,23541824.0,14023092.400
08-05 03:47:09,55.702,8.635,32.484,0.136,0.0,3.043,0.0,1697689.600,22834655232.0,1486848.0,4572262400.0,23058874368.0,0.0,25375535104.0,24173335.600,14499355.0
08-05 03:47:14,54.782,8.381,33.643,0.136,0.0,3.058,0.0,1656627.200,22835462144.0,1486848.0,4579676160.0,23050653696.0,0.0,25375535104.0,23633630.600,14029441.400
08-05 03:47:19,55.127,8.715,33.064,0.111,0.0,2.984,0.0,1707417.600,22834765824.0,1486848.0,4588494848.0,23042531328.0,0.0,25375535104.0,23887316.200,14290184.0
08-05 03:47:24,54.170,10.051,32.613,0.136,0.009,3.021,0.0,1649049.600,22836858880.0,1486848.0,4595740672.0,23033192448.0,0.0,25375535104.0,23551823.600,14012758.0
08-05 03:47:29,53.245,8.452,34.956,0.170,0.0,3.177,0.0,3405516.800,22837649408.0,1486848.0,4603891712.0,23024250880.0,0.0,25375535104.0,23867917.200,14100844.0
08-05 03:47:34,52.111,8.436,36.097,0.144,0.0,3.211,0.0,1658880.0,22836064256.0,1486848.0,4612096000.0,23017631744.0,0.0,25375535104.0,23909973.800,14015016.800
08-05 03:47:39,56.128,8.491,31.990,0.136,0.008,3.247,0.0,1778688.0,22834909184.0,1486848.0,4620378112.0,23010504704.0,0.0,25375535104.0,24626218.400,14623209.600
08-05 03:47:44,53.187,10.642,32.844,0.119,0.0,3.208,0.0,1672806.400,22833524736.0,1486848.0,4628971520.0,23003295744.0,0.0,25375535104.0,23806984.200,14182990.400
08-05 03:47:49,54.185,8.516,34.250,0.119,0.0,2.929,0.0,1676595.200,22834290688.0,1486848.0,4636598272.0,22994903040.0,0.0,25375535104.0,23890346.200,14214837.400
08-05 03:47:54,53.933,8.547,34.239,0.111,0.0,3.170,0.0,1654784.0,22832332800.0,1486848.0,4644708352.0,22988750848.0,0.0,25375535104.0,24064773.600,14336250.800
08-05 03:47:59,54.108,8.232,34.492,0.162,0.009,2.997,0.0,2112716.800,22831198208.0,1486848.0,4548337664.0,23086256128.0,0.0,25375535104.0,23571433.400,13994079.400
08-05 03:48:04,54.485,9.913,32.318,0.085,0.0,3.200,0.0,1667891.200,22830546944.0,1486848.0,4556455936.0,23078789120.0,0.0,25375535104.0,24096164.800,14375680.0
08-05 03:48:09,53.969,8.331,34.672,0.128,0.0,2.899,0.0,1659187.200,22827814912.0,1486848.0,4564774912.0,23073202176.0,0.0,25375535104.0,23548285.0,14143541.400
08-05 03:48:14,53.611,8.491,34.653,0.136,0.009,3.100,0.0,1645977.600,22829662208.0,1486848.0,4572631040.0,23063498752.0,0.0,25375535104.0,23729878.600,14004460.200
08-05 03:48:19,51.150,8.583,36.922,0.119,0.0,3.226,0.0,1704038.400,22827544576.0,1486848.0,4580761600.0,23057485824.0,0.0,25375535104.0,23929831.0,14155378.800
08-05 03:48:24,54.428,9.857,32.211,0.119,0.0,3.385,0.0,1694208.0,22828421120.0,1486848.0,4589502464.0,23047868416.0,0.0,25375535104.0,24515003.0,14572394.0
08-05 03:48:29,53.093,8.591,34.968,0.161,0.0,3.187,0.0,1684582.400,22826119168.0,1486848.0,4597522432.0,23042150400.0,0.0,25375535104.0,23968217.800,14450790.0
